['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.55'], ['448.5', '-1097.0', '382.0']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.52'], ['447.5', '-1072.0', '385.5']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.4'], ['456.0', '-1080.0', '395.0']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.49'], ['451.0', '-1063.0', '391.5']]
['1', ['36.25', '12.52'], ['441.5', '-1063.0', '387.5']]
['1', ['36.25', '12.52'], ['441.5', '-1063.0', '387.5']]
['1', ['36.25', '12.52'], ['441.5', '-1063.0', '387.5']]
['1', ['36.25', '12.52'], ['441.5', '-1063.0', '387.5']]
['1', ['36.25', '12.52'], ['441.5', '-1063.0', '387.5']]
['1', ['36.25', '12.52'], ['441.5', '-1063.0', '387.5']]
