['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '14.87'], ['568.5', '-497.25', '763.0']]
['1', ['29.0', '15.12'], ['693.25', '-595.5', '778.0']]
['1', ['29.0', '15.12'], ['693.25', '-595.5', '778.0']]
['1', ['29.0', '15.12'], ['693.25', '-595.5', '778.0']]
['1', ['29.0', '15.12'], ['693.25', '-595.5', '778.0']]
['1', ['29.0', '15.12'], ['693.25', '-595.5', '778.0']]
['1', ['29.0', '15.12'], ['693.25', '-595.5', '778.0']]
['1', ['29.0', '16.75'], ['982.33', '-939.0', '905.33']]
['1', ['28.57', '17.41'], ['225.25', '-1242.5', '1030.25']]
['1', ['28.47', '14.27'], ['751.4', '-1608.6', '2034.2']]
['1', ['28.02', '12.73'], ['-459.2', '-1686.2', '4236.8']]
['1', ['28.36', '13.24'], ['1488.25', '-2469.5', '5129.0']]
['1', ['29.0', '15.22'], ['2298.5', '-3909.0', '10993.5']]
['1', ['29.0', '15.14'], ['2480.0', '-3561.5', '10858.0']]
['1', ['29.0', '15.14'], ['2480.0', '-3561.5', '10858.0']]
['1', ['29.0', '15.14'], ['2480.0', '-3561.5', '10858.0']]
['1', ['29.0', '15.14'], ['2480.0', '-3561.5', '10858.0']]
['1', ['29.0', '15.14'], ['2480.0', '-3561.5', '10858.0']]
['1', ['29.0', '15.14'], ['2480.0', '-3561.5', '10858.0']]
['1', ['29.0', '15.16'], ['2520.0', '-3547.5', '10898.0']]
['1', ['29.0', '15.16'], ['2520.0', '-3547.5', '10898.0']]
['1', ['29.0', '15.16'], ['2520.0', '-3547.5', '10898.0']]
['1', ['29.0', '15.16'], ['2520.0', '-3547.5', '10898.0']]
